8.2598,34.7258,86.0,58.474,1
8.185,33.8626,87.04,60.116,1
8.11,34.7916,88.4,63.646,1
8.035,35.1366,87.26,66.47,1
7.96,33.4238,87.7,66.588,1
7.885,33.9728,90.3,67.648,1
7.81,33.4684,89.3,69.882,1
7.715,34.681,87.94,69.646,1
7.6342,33.631,86.42,70.708,1
7.559,32.7986,88.34,71.296,1
7.504,32.1948,89.62,71.76,1
7.4132,31.1604,90.36,71.644,1
7.333,30.932,92.18,71.296,1
7.2572,31.652,93.08,72.114,1
7.182,30.5832,91.52,73.648,1
7.1062,29.7598,93.02,74.12,1
7.0302,29.2568,93.9,74.354,1
6.955,29.6958,95.12,75.644,1
6.8992,29.6914,95.56,77.296,1
6.8282,30.4618,95.68,78.356,1
6.773,30.6822,94.1,78.704,1
6.7022,30.7462,93.94,78.122,1
6.6462,30.761,93.76,77.65,1
6.5952,31.501,93.46,77.65,1
6.545,31.1212,92.04,77.65,1
6.4942,31.7192,92.74,77.65,1
6.4632,31.4184,91.8,77.65,1
6.418,31.5306,91.74,77.65,1
6.3672,31.6274,91.56,77.65,1
6.3362,32.025,92.14,77.65,1
6.311,31.7732,91.34,77.768,1
6.2652,32.5764,91.58,78.24,1
6.235,32.0638,90.9,78.24,1
6.2092,12.2872,92.46,78.122,1
6.184,12.1754,92.34,77.768,1
6.179,11.7732,91.96,78.24,1
6.1582,11.7636,92.3,78.122,1
6.133,11.783,92.32,77.884,1
6.1072,11.8414,92.14,78.586,1
6.082,10.9408,92.42,77.414,1
6.0562,10.34,93.86,76.47,1
6.031,10.3446,95.4,76.706,1
6.0052,10.5258,96.02,77.532,1
5.98,11.053,96.18,77.06,1
5.9542,11.6422,95.48,75.53,1
5.929,13.2654,93.78,63.41,1
5.9032,14.4668,90.76,35.528,0
5.8772,15.6858,87.22,18.236,0
5.872,17.0246,82.5,10.474,0
5.852,17.5432,78.62,7.532,0
5.847,18.1378,77.26,6.942,0
5.8262,18.423,75.5,6.118,0
5.8418,18.785,72.86,4.592,0
5.847,19.1892,70.78,3.884,0
5.867,19.8412,68.64,2.94,0
5.8928,20.2696,67.16,2.94,0
5.9188,20.3218,65.78,2.94,0
5.9648,20.5834,65.66,2.94,0
6.0158,21.5284,64.26,2.94,0
6.0668,21.8816,62.14,2.94,0
6.1378,22.1446,61.22,2.94,0
6.2146,22.6428,59.98,2.94,0
6.2908,22.6378,58.5,2.94,0
6.4076,22.7242,57.8,2.94,0
6.5346,23.2898,57.3,2.94,0
6.6616,23.8288,56.4,2.94,0
6.7878,24.0836,54.84,2.94,0
6.9346,24.3924,54.34,2.94,0
7.0658,24.7504,53.42,2.94,0
7.2118,24.7454,53.12,2.94,0
7.3628,25.0356,52.78,2.94,0
7.5138,25.3458,51.98,2.94,0
7.6648,25.54,51.56,2.94,0
7.795,25.7492,51.42,2.94,0
7.92,25.8898,51.24,2.94,0
8.065,26.4804,50.08,2.94,0
8.215,26.5828,48.68,2.94,0
8.3442,26.1434,50.0,2.94,0
8.449,26.5048,49.76,2.94,0
8.5682,26.8964,46.56,2.94,0
8.7122,27.0042,45.0,2.94,0
8.8212,26.6812,46.48,2.94,0
8.901,27.2644,46.42,2.94,0
9.0152,28.2414,45.5,2.94,0
9.0992,27.8504,43.62,2.94,0
9.1932,27.5252,43.52,2.94,0
9.3114,27.697,43.68,2.94,0
9.3952,27.8502,44.26,2.94,0
9.47,27.855,43.2,2.94,0
9.5634,28.0876,42.66,2.94,0
9.6422,28.0086,41.88,2.94,0
9.7162,28.0132,42.18,2.94,0
9.7902,27.2942,42.7,2.822,0
9.8242,26.896,44.16,2.35,0
9.869,27.038,44.82,2.468,0
9.8982,27.2054,45.14,2.94,0
9.9622,27.235,44.4,2.94,0
10.0162,27.7662,43.72,2.94,0
10.0652,28.335,42.4,2.94,0
10.1142,28.5032,41.22,2.94,0
10.1632,29.1956,40.52,2.94,0
10.2122,29.725,39.04,2.94,0
10.242,28.7774,39.42,2.94,0
10.2662,28.7164,40.56,2.94,0
10.271,28.31,41.36,2.94,0
10.3102,29.9136,40.22,2.94,0
10.34,30.7886,38.14,3.058,0
10.3642,30.8792,36.9,3.412,0
10.369,29.1284,37.1,2.94,0
10.3498,29.2896,38.64,2.94,0
10.345,28.4646,39.8,2.94,0
10.345,29.3962,41.36,2.94,0
10.3642,30.5764,38.82,2.94,0
10.389,30.5956,37.3,2.94,0
10.394,30.6058,36.38,2.94,0
10.374,30.4594,35.64,2.94,0
10.369,30.0966,35.74,2.94,0
10.369,29.976,36.04,2.94,0
10.3498,29.9052,36.42,2.94,0
10.345,29.65,37.94,2.94,0
10.325,29.9908,38.38,2.822,0
10.3008,29.971,37.12,2.35,0
10.296,29.981,36.0,2.468,0
10.276,29.8302,35.72,2.822,0
10.2518,29.5292,36.02,2.35,0
10.2078,29.3248,36.82,2.35,0
10.178,29.15,37.16,2.35,0
10.1538,28.7766,38.24,2.35,0
10.129,28.4736,39.06,2.35,0
10.0848,28.2206,39.76,2.35,0
10.0558,27.9734,40.46,2.35,0
10.011,27.648,41.64,2.35,0
9.9618,27.323,43.1,2.35,0
9.9328,27.0822,44.76,2.35,0
